feature,current_routes,current_files,historical_routes,historical_files,supporting_dependencies,permission_assumptions,database_assumptions,rpc_assumptions,environment_assumptions,test_coverage,current_completeness,historical_completeness,current_placeholder,historical_status,porting_difficulty,demo_priority,recommendation
login,"/login","src/app/login-page.tsx; src/routes/_auth.login.tsx","/login","src/ui/Login.tsx","auth provider","anonymous/authenticated","auth tables/session","none","Supabase auth env","route covered by baseline typecheck","complete","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
dashboard,"/","src/routes/_protected.index.tsx","/","src/ui/Dashboard.tsx","current shell/services","authenticated","summary tables","none","Supabase optional diagnostics","baseline typecheck/build","demo-ready","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
properties,"/properties; /properties/new; /properties/$propertyId; /properties/$propertyId/edit","src/features/properties","/properties","src/ui/Properties.tsx","property service; units","authenticated","properties; ownership links; units","none","Supabase","feature tests present","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
property details,"/properties/$propertyId","src/features/properties/property-detail-page.tsx","implicit old details","src/ui/Properties.tsx","units; owners","authenticated","properties; units; ownership","none","Supabase","baseline typecheck","substantial","partial","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
units,"/units","src/features/units","embedded in properties","src/ui/Properties.tsx","unit service; property service","authenticated","units; properties","none","Supabase","unit tests in baseline","substantial","partial","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
lands,"none","none","/lands","src/ui/Lands.tsx","Card; Modal; NumberInput; dataService; journal entries","authenticated/admin for writes","lands; journalEntries; settings","none","Supabase/schema unknown","none current","missing","active","n/a","active but coupled","HIGH","POST_DEMO","PORT_AND_ADAPT"
owners,"/owners","src/features/owners","/owners","src/ui/Owners.tsx","owner hooks/services","authenticated","owners; property ownership","none","Supabase","owner tests present","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
owner details,"people/edit and owners list only","src/features/owners; src/features/people","owner hub/detail","src/ui/OwnersHub.tsx; src/ui/OwnerView.tsx","owners; properties; units; contracts; invoices","authenticated/portal token","owners; properties; units; contracts; invoices; receipts; expenses","edge token for portal","Supabase/functions","partial current tests","partial","active","partly","active but coupled","MEDIUM","USEFUL","MERGE"
owners hub,"none","target src/features/owners/hub","/owners/:ownerId/hub","src/ui/OwnersHub.tsx","financeService; AppContext db","authenticated","owners; properties; units; contracts; invoices; receipts; expenses","none","Supabase","none","missing","active","n/a","active but coupled","MEDIUM","USEFUL","PORT_AND_ADAPT"
owner portal,"none","target src/features/owners/portal","/owner-view/:ownerId; /portal/:ownerId","src/ui/OwnerView.tsx; services/edgeFunctions.ts","edgeFunctions; token verification","public token or owner auth","owner portal payload","edge function assumptions","Supabase functions env","none","missing","active","n/a","active but coupled","HIGH","POST_DEMO","PORT_AND_ADAPT"
tenants,"/tenants; /people/new; /people/$personId/edit","src/features/tenants; src/features/people","/tenants","src/ui/Tenants.tsx","people service","authenticated","people table with tenant type","none","Supabase","baseline typecheck","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
contracts,"/contracts; /contracts/new","src/features/contracts","/contracts","src/ui/Contracts.tsx","contract service; property/people/unit options","authenticated","contracts; units; people; properties","renewal RPC for specific action","Supabase","contract service/list/detail tests","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
contract details,"/contracts/$contractId; /contracts/$contractId/edit","src/features/contracts/ContractDetailPage.tsx","old contract detail in contracts page","src/ui/Contracts.tsx","payments tab; documents shell","authenticated","contracts; invoices; receipts","renewal RPC for renew action","Supabase","detail tests present","substantial","partial","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
invoices,"/invoices; financials embedded","src/features/financials/invoices; components","/financial/invoices","src/ui/Invoices.tsx; components/invoices","receiptService; filters; modal","finance permission","invoices; receipts; contracts; tenants; units","none","Supabase","invoice hooks tests","substantial","richer old UI","thin route shell","active but coupled","MEDIUM","REQUIRED","MERGE"
receipts,"receipts section/detail","src/features/financials/receipts","financial receipts","src/services/receiptService.ts","payment/receipt service","finance permission","receipts; invoices; contracts","none","Supabase","receipt service tests","substantial","active","no","stale service","LOW","REQUIRED","KEEP_CURRENT"
payments,"financial payment form","src/features/financials/payments","quick pay modal","src/components/invoices/QuickPayModal.tsx","payment service; invoice workspace","finance permission","payments/receipts/invoices","none","Supabase","payment tests","substantial","active","no","coupled","LOW","REQUIRED","KEEP_CURRENT"
expenses,"/expenses; financials section","src/features/financials/expenses","financial expenses","src/ui/Financials.tsx","expense service","finance permission","expenses; contracts; properties","none","Supabase","expenses tests","substantial","active","no","coupled","LOW","REQUIRED","KEEP_CURRENT"
arrears,"/arrears; financials section","src/features/financials/arrears; components","/financial/arrears","src/ui/financial/Arrears.tsx","arrears helpers","finance permission","invoices; payments; contracts","none","Supabase","arrears component tests","partial but real","active","thin shell","coupled","MEDIUM","USEFUL","MERGE"
finance,"/financials","src/features/financials/financials-page.tsx","/financial/*","src/ui/Finance.tsx","old nested router; DSButton","finance permission","financial summary tables","none","Supabase","baseline build","substantial current shell","active","no","stale router","LOW","REQUIRED","KEEP_CURRENT"
financials,"/financials","src/features/financials","/financial/overview","src/ui/Financials.tsx","receipts; expenses; deposits; settlements","finance permission","receipts; expenses; depositTxs; ownerSettlements","none","Supabase","financial tests","substantial","active","no","coupled","LOW","REQUIRED","KEEP_CURRENT"
accounting,"/accounting","src/features/accounting/accounting-page.tsx","/financial/accounting","src/ui/Accounting.tsx","ManualVoucherForm; pdfService; accountingService","finance/admin","accounts; accountBalances; journalEntries","none","Supabase/schema unknown","none current","placeholder","active","yes","active but coupled","HIGH","POST_DEMO","PORT_AND_ADAPT"
general ledger,"none","target src/features/accounting/general-ledger","/financial/gl","src/ui/GeneralLedger.tsx","accountingService; ManualVoucherForm","finance/admin","accounts; journalEntries; receipts; expenses; invoices","none","Supabase/schema unknown","none current","missing","active","n/a","active but coupled","HIGH","POST_DEMO","PORT_AND_ADAPT"
commissions,"none","target src/features/commissions","/commissions","src/ui/Commissions.tsx","financeService.payoutCommission; dataService","admin/finance","commissions; auth.users","none","Supabase schema unknown","none","missing","active","n/a","active with writes","HIGH","POST_DEMO","PORT_AND_ADAPT"
maintenance,"/maintenance","src/features/maintenance","/maintenance","src/ui/Maintenance.tsx","maintenance hooks; property/unit hooks","authenticated","maintenance requests; properties; units","none","Supabase","maintenance tests","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
reports,"/reports","src/features/reports/reports-page.tsx","/reports","src/ui/Reports.tsx; components/reports","report service/queries","authenticated/finance sections","contracts; invoices; receipts; expenses","none","Supabase","baseline typecheck","substantial","active","no","stale architecture","LOW","USEFUL","KEEP_CURRENT"
audit log,"none","target src/features/audit/audit-log","/audit-log","src/ui/AuditLog.tsx","snapshots; confirm modal; audit data","admin only","auditLog; snapshots","none","Supabase table unknown","none","missing","active","n/a","active but AppContext","MEDIUM","USEFUL","PORT_AND_ADAPT"
data integrity audit,"none","target src/features/audit/data-integrity","admin settings/report route","src/ui/DataIntegrityAudit.tsx; services/auditEngine.ts","auditEngine; migrateAttachments; logger","admin only","many app tables; attachments","none","Supabase schema unknown","none","missing","active","n/a","active with risky action","HIGH","POST_DEMO","PORT_AND_ADAPT"
communication hub,"none","target src/features/communication","/communication","src/ui/CommunicationHub.tsx","generateNotifications; dataService","authenticated/admin","outgoingNotifications","none","Supabase schema unknown","none","missing","active","n/a","active but coupled","MEDIUM","POST_DEMO","PORT_AND_ADAPT"
leads,"none","target src/features/leads","/leads","src/ui/Leads.tsx","WhatsApp modal; dataService","authenticated","leads","none","Supabase schema unknown","none","missing","active","n/a","active with CRUD","MEDIUM","POST_DEMO","PORT_AND_ADAPT"
property map,"none","none","/property-map","src/ui/PropertyMap.tsx","map UI unknown","authenticated","properties geo fields","none","browser/map provider unknown","none","missing","partial","n/a","uncertain","HIGH","DEFER","REFERENCE_ONLY"
smart assistant,"none","target future assistant","/smart-assistant","src/ui/SmartAssistant.tsx; components/shared/SmartAssistant.tsx; geminiService.ts","Gemini service; app context","privileged assistant permission","broad app data","possible AI service","VITE keys likely","none","missing","active","n/a","service-key risk","BLOCKED","DEFER","REIMPLEMENT_AGAINST_CURRENT_ARCHITECTURE"
system settings,"/settings","src/features/settings","/settings/*","src/ui/System.tsx","companySettingsService","settings permission","company_settings","none","Supabase","settings service tests","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
settings submodules,"single current page","src/features/settings/settings-page.tsx","settings subroutes","src/components/settings/*","settings components","admin/settings","settings submodule tables unknown","none","Supabase","none current","partial","active","no","component-only","MEDIUM","POST_DEMO","REFERENCE_ONLY"
change password,"none/current auth may need flow","target src/features/account/change-password","forced password route","src/ui/ChangePassword.tsx","auth.changePassword","authenticated mustChange","auth provider only","none","Supabase auth","none","missing explicit page","active","n/a","active but AppContext","MEDIUM","USEFUL","PORT_AND_ADAPT"
notifications,"none","target src/features/notifications","layout notifications","components/print/layout/Notifications.tsx; notificationService.ts","AppContext db; status helpers","authenticated","notifications/outgoingNotifications","none","Supabase schema unknown","none","missing","active","n/a","active but coupled","MEDIUM","POST_DEMO","PORT_AND_ADAPT"
printing,"contract docs shell only","src/features/contracts/contractDocumentsShell.tsx","print layout/templates","components/print; PrintTemplate.tsx; pdfService.ts","document services; DOM/PDF libs","authenticated/feature-specific","documents/attachments/templates","none","browser/PDF env","contract tests note shell scope","partial","active","yes for upload/print actions","active","MEDIUM","USEFUL","MERGE"
document handling,"contract docs shell only","src/features/contracts/contractDocumentsShell.tsx","document engine/services","services/documents; attachmentService.ts","attachment manager; document engine","authenticated/feature-specific","attachments; documents; storage buckets","edge/storage possible","Supabase storage","none","placeholder shell","active","yes","active but broad","HIGH","POST_DEMO","MERGE"

